query,tweet,username,time,url
Fell in love with Vietnam,the masculine urge to build a startup on the china vietnam border,"Jeevy
@jeevsalive
·
Dec 7",2025-12-07T15:28:20.000Z,https://x.com/jeevsalive/status/1997689642796380409
Fell in love with Vietnam,"“Vietnam’s food always feels like a warm hug.”
Day 1 in vietnam","AlyssaJane Cardenas
@AlyssaJane55312
·
Dec 2",2025-12-02T13:11:08.000Z,https://x.com/AlyssaJane55312/status/1995843173265125676
Fell in love with Vietnam,"Jord Hammond
'From an aerial perspective, Vietnam has to be one of the most aesthetically pleasing countries I’ve visited so far'","Mateo
@eyeonaxis_
·
Jun 7, 2024",2024-06-06T18:18:00.000Z,https://x.com/eyeonaxis_/status/1798781400289554491
Fell in love with Vietnam,"GM

living in Vietnam, I’m constantly inspired by its culture,

this video is my tribute to its beauty","ink_
@0xInk_
·
Nov 14",2025-11-14T05:38:56.000Z,https://x.com/0xInk_/status/1989206394428641634
Fell in love with Vietnam,"I’m gonna talk to First and Khaotung THIS IS MY FOREVER DREAM LITERALLY MY WHOLE BODY IS SHAKING

Thank you to my lovely friends and I swear I won’t ever stop crying about this

This is literally my whole dream, everything for me
I cannot believe it I cannot believe it","𝑳𝒊𝒗𝒚 GBYFD, BS, DYTD & MOS era
@livyVIP
·
Dec 7",2025-12-07T15:09:13.000Z,https://x.com/livyVIP/status/1997684830063259653
Fell in love with Vietnam,"Os  Jikook no Vietnã 
#jikook #kookmin","@minkookie1307
·
Dec 7",2025-12-07T15:12:18.000Z,https://x.com/minkookie1307/status/1997685605833290214
Fell in love with Vietnam,"闻到了桂花的清香，
看见了红柿的登场，
如今，又邂逅了满地金黄的银杏叶。
初冬的浪漫，就是我最喜欢的诗和远方。","Love xinchang（互关
@woaixinchang1
·
Dec 7",2025-12-07T15:08:35.000Z,https://x.com/woaixinchang1/status/1997684672000901126
Fell in love with Vietnam,"Hello Vietnam! 
• Hello, Vietnam! Wherever you are, I’m calling out to you. I know you can hear me.
• The atmosphere of Da Nang’s beaches reminds me of my days in PCB, Florida. There, I experienced the most peaceful period of my life, and the Ad Astra community emerged.
•","devin
@devinxad
·
Jun 6",2025-06-06T12:21:20.000Z,https://x.com/devinxad/status/1930963212620447831
Fell in love with Vietnam,"The beautiful scenery of Vietnam .Relax and relax your body to admire the beautiful scenery
omniera.net/W5VDH","xedc
@xedc0766
·
Dec 2",2025-12-02T13:49:05.000Z,https://x.com/xedc0766/status/1995852723271733358
Fell in love with Vietnam,"我還在越南啦 

#屏東 #saigon #hochiminhcity #vietnam #ladyboy #vietnamese","LaLa
@Lala596295
·
Jul 27",2025-07-27T13:07:36.000Z,https://x.com/Lala596295/status/1949456637212733462
