query,tweet,username,time,url
Hanoi travel review,Hoi An is amazing! Definitely check out the Hoi A Memories show. The coconut boat ride was a trip though.,"Boydy73
@boydy_73
·
Dec 3",2025-12-03T15:13:34.000Z,https://x.com/boydy_73/status/1996236375713325357
Hanoi travel review,"While everyone rushes to Hanoi or Ho Chi Minh, Da Nang offers something different - a laid-back vibe where luxury costs less than domestic Indian destinations. You get to see Pristine beaches and beautiful hill station, which is just an hour drive.","Kirubakaran Rajendran
@kirubaakaran
·
May 30",2025-05-30T08:32:03.000Z,https://x.com/kirubaakaran/status/1928368796143583550
Hanoi travel review,"Saigon and Hanoi are now more expensive for the vast majority of their population than Singapore/Tokyo are for their locals.

This is one reason why I've never leaned into the whole ""Southeast Asia is so cheap!"" thing that delusional westerners often do on here,

besides being","OK Then
@okaythenfuture
·
Dec 6",2025-12-06T08:13:32.000Z,https://x.com/okaythenfuture/status/1997217834666283057
Hanoi travel review,"Halong bay:
Booked a cruise  and the overall experience was extremely amazing. Limousine will pick up from our hotel at Hanoi to the cruise point. Stayed a night there. We chose Dora Cruise. 140 USD per person approx.","Deepak K Viswanathan
@DeepakVisva
·
Nov 5, 2022",2022-11-05T14:19:46.000Z,https://x.com/DeepakVisva/status/1588898873879441413
Hanoi travel review,"Emerald waters. Ancient limestone islands. Epic views. Just Vietnam's Ha Long Bay doing what it does best. 

Witness it for yourself with 25 weekly flights to Hanoi, Da Nang, and Ho Chi Minh City.","Emirates
@emirates
·
Nov 11",2025-11-11T11:00:00.000Z,https://x.com/emirates/status/1988200030465921079
Hanoi travel review,Ho chi Minh city is filled with so many fun activities to do and foods to try… Silly me for thinking 6 days was long enough,"Princess Emily
@3vilbarbi3
·
Dec 7",2025-12-07T16:15:54.000Z,https://x.com/3vilbarbi3/status/1997701611397976136
Hanoi travel review,"I really like the setup at Hanoi airport, the barricades help a lot. VIPs FAMs didn’t crowd around GD while he was walking, and that made everything feel so much safer and more respectful
Thank u for giving GD such a warm and beautiful welcome you really gave your best","jess
@twinkleofgd
·
Jun 20",2025-06-20T16:03:54.000Z,https://x.com/twinkleofgd/status/1936092656301752592
Hanoi travel review,"I have been working from #Vietnam from the last 15 days 

Sharing some info for those planning to visit / work from here which could be useful. Just pointers. 

1. Download the Grab App for all your taxi + food delivery etc. Indian mobile + cards work seamless on the app 

2. All","Backpacking Daku
@outofofficedaku
·
Jun 20, 2024",2024-06-19T18:43:54.000Z,https://x.com/outofofficedaku/status/1803498962659451154
Hanoi travel review,"7 Cheap Places to Travel to for vacation. Thread ! 

1. Hanoi, Vietnam ( Average Cost: $19.75/day)","Uncle Chu
@datchuguyy
·
Oct 8, 2022",2022-10-08T08:30:54.000Z,https://x.com/datchuguyy/status/1578664219607674881
Hanoi travel review,"1. Hanoi (6 days) 
Hanoi is conveniently located to Sapa, Halong bay and Ninh Binh. I kept coming back to Hanoi to rest before leaving for the next place so overall stayed for 6 nights.

Contd.","Shweta
@DalekNo99
·
Jul 21, 2024",2024-07-21T13:31:08.000Z,https://x.com/DalekNo99/status/1815016662913229118
Hanoi travel review,"If Vietnam is on your 2025 bucket list, SAVE this 

We explored Hanoi, Sapa, Da Nang & Hoi An.

One of the best trips we’ve ever had 

Here’s the full itinerary with flights, hotels, the BEST FOOD & transport hacks","Dhanesh Gianani
@dhanesh500
·
Sep 21",2025-09-21T12:15:07.000Z,https://x.com/dhanesh500/status/1969737151815307284
