query,tweet,username,time,url
Is Vietnam worth visiting,ow.ly/bOYt30eT0bV 8 amazing things to do and see in Vietnam #travel #vacation #Vietnam #traveltips,"Vee Dunford, MSc, BSN, Dip NT CNM
@proactivevee
·
Sep 5, 2017",2017-09-04T19:00:23.000Z,https://x.com/proactivevee/status/904781203588485120
Is Vietnam worth visiting,"Vietnam was my dream destination since I was a kid and I've only just begun to look through my photos but look at this place man.

 Unbelievable country, the people, the nature, the food, unlike anywhere I've ever been and I can't wait to go back.","Kyle
@KBensonJpg
·
Dec 6",2025-12-06T00:14:01.000Z,https://x.com/KBensonJpg/status/1997097156843282598
Is Vietnam worth visiting,"Vietnam is a country of tropical lowlands, rolling green hills, and densely forested mountains. From Ninh Binh you can travel down the Ngo Dong River and in to the stunning landscape of Tam Coc. The Tam Coc scenery is a combination of rice fields, rivers and limestone cliffs","Vietnam
@MglkrVietnam
·
Mar 7, 2020",2020-03-07T07:51:22.000Z,https://x.com/MglkrVietnam/status/1236197737458253824
Is Vietnam worth visiting,"Solo traveled to Vietnam with zero plans, chose just one city — Da Nang — and it turned out to be the most peaceful, soulful vacation I’ve ever had. Vietnam is vast, but you don’t need to race across the country, if you are on time constraint, then opt for Da Nang. Here's why","Kirubakaran Rajendran
@kirubaakaran
·
May 30",2025-05-30T08:21:15.000Z,https://x.com/kirubaakaran/status/1928366080629616653
Is Vietnam worth visiting,"Last year I spent 54 days travelling Vietnam, Laos and Cambodia and spent ₹1,88,716. 

Here is the breakdown:
Vietnam- 33 days - 97,512
Laos- 13 days  - 29,958
Cambodia- 8 days - 18,522
 from Blore - 27k 
Visas-₹10,724
Extra-5k

All Vietnam details below
(1/n)","Aman Saxena | Travel Blogger
@storiesofraku
·
Apr 19, 2024",2024-04-19T15:27:52.000Z,https://x.com/storiesofraku/status/1781343968170590534
Is Vietnam worth visiting,"7 Cheap Places to Travel to for vacation. Thread ! 

1. Hanoi, Vietnam ( Average Cost: $19.75/day)","Uncle Chu
@datchuguyy
·
Oct 8, 2022",2022-10-08T08:30:54.000Z,https://x.com/datchuguyy/status/1578664219607674881
Is Vietnam worth visiting,"I have been working from #Vietnam from the last 15 days 

Sharing some info for those planning to visit / work from here which could be useful. Just pointers. 

1. Download the Grab App for all your taxi + food delivery etc. Indian mobile + cards work seamless on the app 

2. All","Backpacking Daku
@outofofficedaku
·
Jun 20, 2024",2024-06-19T18:43:54.000Z,https://x.com/outofofficedaku/status/1803498962659451154
Is Vietnam worth visiting,"If Vietnam is on your 2025 bucket list, SAVE this 

We explored Hanoi, Sapa, Da Nang & Hoi An.

One of the best trips we’ve ever had 

Here’s the full itinerary with flights, hotels, the BEST FOOD & transport hacks","Dhanesh Gianani
@dhanesh500
·
Sep 21",2025-09-21T12:15:07.000Z,https://x.com/dhanesh500/status/1969737151815307284
Is Vietnam worth visiting,"I am currently in Vietnam - this country is super chill with clothing, eating habits. 

Women do all kinds of jobs that men do; people don’t ogle at you. Everyone is minding their own business, saving you from unwanted attention. They are utilising their potential to the max; men","tere naina
@nainaverse
·
Mar 29, 2024",2024-03-29T12:21:00.000Z,https://x.com/nainaverse/status/1773686796368720000
Is Vietnam worth visiting,"One of the most UNDERRATED cities I have visited recently 

 Ho Chi Minh City, also known as Saigon, is a must-see destination for travelers looking to experience the best of Vietnam.

Here are the top 7 attractions you should not miss out on","Tanya Khanijow
@TanyaKhanijow
·
Apr 19, 2023",2023-04-19T06:44:30.000Z,https://x.com/TanyaKhanijow/status/1648578299797602304
