query,tweet,username,time,url
Vietnam made me feel,"After 1975, Vietnam was destroyed.

• Inflation hit 774%
• Economy crumbled & people illiterate
• US chemical bombs made farming deadly.

Today, it's becoming the Silicon Valley of Asia & one of the fastest-growing nations worldwide.

One decision changed everything","Quang Do
@ovquang
·
Aug 7",2025-08-07T12:00:30.000Z,https://x.com/ovquang/status/1953426018062184681
Vietnam made me feel,"“Vietnam’s food always feels like a warm hug.”
Day 1 in vietnam","AlyssaJane Cardenas
@AlyssaJane55312
·
Dec 2",2025-12-02T13:11:08.000Z,https://x.com/AlyssaJane55312/status/1995843173265125676
Vietnam made me feel,"The jungle didn't stay in Vietnam. It followed them home.

In the stifling heat of Vietnam, where the air smelled of rot and gunpowder, men were turned into ghosts long before their hearts ever stopped beating. Ambushes came in silence. Friends died screaming. Civilians became","A Soldier's Whisper
@SoldiersWhisper
·
Jul 26",2025-07-26T13:03:08.000Z,https://x.com/SoldiersWhisper/status/1949093128134181112
Vietnam made me feel,"NeverForgottenTheVietnamVeteran.com
American soldiers crouched along a tree line while under fire in Vietnam in March 1967. The war’s effects stuck with many veterans for decades afterwards…
#TheVietnamWar","A Soldier's Whisper
@SoldiersWhisper
·
Nov 21",2025-11-21T13:53:01.000Z,https://x.com/SoldiersWhisper/status/1991867447444709453
Vietnam made me feel,"A bar in An Khe, Vietnam, 1966, regularly frequented by U.S. soldiers stationed near the city.... 

Places like this were more than just bars. For many young soldiers rotating between patrols, ambushes, and long stretches of tension, they were one of the few escapes from the","Archaeo - Histories
@archeohistories
·
Dec 6",2025-12-06T05:07:02.000Z,https://x.com/archeohistories/status/1997170896654815547
Vietnam made me feel,"Tapınak tapınak gezmekle içimiz karardı, kendimizi sahile attık, Hindistan Cevizinin suyunu dalından içtik, gözümüz gönlümüz açıldı..
#Vietnam","ömür kabak
@kabak_omur
·
Dec 7",2025-12-07T14:56:04.000Z,https://x.com/kabak_omur/status/1997681521130688957
Vietnam made me feel,"Sadly, not many people realized that nurses serving in Viet Nam came home with emotional scars also. My sister suffered from PTSD. The sister that went to Viet Nam and the one that returned home were like two different people."" 
-Rodney Faulk

God Bless Our Vets

#Army #armynurse","John F. Kennedy Jnr Awakening
@JohnfKennedy608
·
23h",2025-12-06T14:46:24.000Z,https://x.com/JohnfKennedy608/status/1997316700916908391
Vietnam made me feel,"Vietnam was my dream destination since I was a kid and I've only just begun to look through my photos but look at this place man.

 Unbelievable country, the people, the nature, the food, unlike anywhere I've ever been and I can't wait to go back.","Kyle
@KBensonJpg
·
Dec 6",2025-12-06T00:14:01.000Z,https://x.com/KBensonJpg/status/1997097156843282598
Vietnam made me feel,"Vietnam war museum

It made me feel sad and I had no words.","Yoshi-RTW世界一周中
@studyingR6
·
Dec 4",2025-12-04T09:04:49.000Z,https://x.com/studyingR6/status/1996505963713724423
Vietnam made me feel,"“That first step into an LZ was always the hardest because we didn't know what awaited us there, a boobytrap or ambush. Afterward, we walked for hours every day looking for the elusive enemy.”
- Vietnam Veteran 
#ThrVietnamWar","A Soldier's Whisper
@SoldiersWhisper
·
Nov 28",2025-11-28T13:56:31.000Z,https://x.com/SoldiersWhisper/status/1994405045702668548
Vietnam made me feel,This is how most Vietnam Vets felt when they came home.,"LifesAGamble
@MartinCard17
·
Dec 7",2025-12-07T14:32:55.000Z,https://x.com/MartinCard17/status/1997675694441017563
Vietnam made me feel,This kind of patriotism brings me to tears!  Those who escaped communist regimes deeply understand what liberty means. The Vietnamese community exemplifies their love for America through an unwavering commitment to freedom.,"Amy Reichert
@amyforsandiego
·
Dec 15, 2024",2024-12-15T00:49:50.000Z,https://x.com/amyforsandiego/status/1868096090215686164
Vietnam made me feel,"“I spent  a couple of tours over in Vietnam War and at 74 years old, I am somewhat surprised but happy as hell to still be on the green side of the grass. Life is always good and the glass is always half full.”
#VietnamWar #Veterans","A Soldier's Whisper
@SoldiersWhisper
·
Aug 12",2025-08-12T13:37:37.000Z,https://x.com/SoldiersWhisper/status/1955262398228546005
Vietnam made me feel,"Thank goodness for the people of Vietnam who showed the world what resisting Empire looks like. Their resilience, their courage, their dogged determination to protect their freedom and liberty and revolution is an inspiration for all generations to come","Abraham Monet
@UXcitingJourney
·
Dec 4",2025-12-03T20:18:10.000Z,https://x.com/UXcitingJourney/status/1996313028720247128
Vietnam made me feel,"“When I left San Francisco and flew to Vietnam, the flight that took 22 hours, and because of the time change, we arrived the same day. I am from Oregon where the temperature is pretty moderate all year round. 

We arrived at the airport in Cameron Bay, because Saigon Airport was","A Soldier's Whisper
@SoldiersWhisper
·
Aug 9",2025-08-09T15:32:37.000Z,https://x.com/SoldiersWhisper/status/1954204177024061678
Vietnam made me feel,".
@FryRsquared
 traveled to Vietnam to explore its rich culture and learn from the people who lived through the war and lost loved ones. She heard one man's story of resilience and compassion.

Watch The Infinite Explorer 
bloom.bg/4ozkyP6","Businessweek
@BW
·
Dec 2",2025-12-02T16:05:05.000Z,https://x.com/BW/status/1995886952239735117
Vietnam made me feel,Soulful white boy irl gets to go to Vietnam more often than I do bruh I'm straight up #kms,"TP.HCM DSA
@oldredink
·
Dec 7",2025-12-07T14:29:23.000Z,https://x.com/oldredink/status/1997674807912206671
Vietnam made me feel,"Made my trip to the Vietnam Memorial Wall today! Quite an emotional experience seeing all the names of those that didn’t make it home! 

Couple of Vets came up to me and we talked for a few minutes! Going back tomorrow, for another visit before it leaves on Monday!

Never Forget,","Old Salty Marine
@BamaSaltyMarine
·
Apr 19",2025-04-18T18:37:11.000Z,https://x.com/BamaSaltyMarine/status/1913300795786957201
Vietnam made me feel,"So exhausted  forced myself to attend a gallery event and went swimming after, despite feeling physically weak and dizzy. Vietnamese coffee did help a bit. Strongest substance I’ve ever had!! Goodnight losers","𝐂𖧞𓃬
@Intothe_ether_
·
Dec 7",2025-12-07T14:52:11.000Z,https://x.com/Intothe_ether_/status/1997680543455121563
Vietnam made me feel,"They said no one could stand against empire.

But Vietnam did.

And we didn’t fight with words alone.

We fought with steel in our spine and fire in our lungs.

We fought barefoot in the mud, with rusted rifles, against superpowers who thought the world was theirs to rule.

We","Sony Thăng
@nxt888
·
Mar 22",2025-03-21T19:33:41.000Z,https://x.com/nxt888/status/1903168152583991677
Vietnam made me feel,"I was born in 1961.  Let me tell you how it really was.
 
We lived in a 3 bedroom 1 bath house, 1000 sq ft home in a racially segregated community,  on a basement, no garage, gravel drive,   no A/C, no dishwasher, no dryer, clothesline in the basement for the winter and raining","Cyber Ambassador
@WmBrackbill
·
May 13, 2024",2024-05-12T20:51:10.000Z,https://x.com/WmBrackbill/status/1789760252126056741
Vietnam made me feel,"i want to cry so bad . they're so nice , they make me feel so loved , so happy , so worth it . im glad that i made this decision to come to them 

FORTPEAT LOVESEA VIETNAM
#FortPeatFanMeetingInVietNam","ᴇᴍʏ ◍ ғᴀɴ ᴀᴄᴄᴏᴜɴᴛ
@fpl0vers
·
May 3",2025-05-03T12:00:36.000Z,https://x.com/fpl0vers/status/1918636810856780035
Vietnam made me feel,"I feel a tad bit sad every time I go outside the country. In Vietnam now. Lots of parks, used by the elderly for exercise and socializing. Lots of bicycles on the roads. We could have all this and more if only we could root out corruption and develop civic sense in India.","Vishnu Sreekumar (@vishnusreekumar@masto.ai)
@vishnusreekr
·
Oct 24",2025-10-24T06:46:34.000Z,https://x.com/vishnusreekr/status/1981613269782876251
Vietnam made me feel,"“I served in-country from late November '67 thru Sept '68 with the 1st Cav. in I corps. My older Brother also served with the Cav the year before me in the central highlands. Pic is me last day at Phu Bai on the way home.” - Jimmy Fox, Vietnam Veteran 

#VietnamWar #Veterans","A Soldier's Whisper
@SoldiersWhisper
·
Apr 21",2025-04-21T14:10:59.000Z,https://x.com/SoldiersWhisper/status/1914320966148055085
Vietnam made me feel,"“I always think this was the real reason why I am proud to be a Vietnam vet.  That is, I served to make this little guy's future better.  I wonder if he made it when the Viet Cong came down from the North and started their widespread massacre of South Vietnamese people.  This was","A Soldier's Whisper
@SoldiersWhisper
·
Mar 19",2025-03-18T17:37:14.000Z,https://x.com/SoldiersWhisper/status/1902051683519406486
Vietnam made me feel,"“I saw a lot of soldiers wounded by either enemy fire or booby traps. I did not get too close to anyone over there, for they would either be short timers, going home, or get wounded, and I would never see them again. 

I also saw a lot of Vietnamese children burned (but still","A Soldier's Whisper
@SoldiersWhisper
·
Mar 21",2025-03-21T16:02:41.000Z,https://x.com/SoldiersWhisper/status/1903115051596153089
Vietnam made me feel,"“I always think this was the real reason why I am proud to be a Vietnam vet.  That is, I served to make this little guy's future better.  I wonder if he made it when the Viet Cong came down from the North and started their widespread massacre of South Vietnamese people.  This was","A Soldier's Whisper
@SoldiersWhisper
·
Oct 6, 2024",2024-10-06T01:31:07.000Z,https://x.com/SoldiersWhisper/status/1842739331162571198
Vietnam made me feel,"Yes, both North and South fought the French.

But only one side refused to kneel when the Americans came.

Victory doesn’t mean comfort. It means sovereignty.

We didn’t fight for instant prosperity.

We fought to be free.

Free from foreign troops. Free from foreign dictates.","Sony Thăng
@nxt888
·
Jul 13",2025-07-13T11:01:58.000Z,https://x.com/nxt888/status/1944351591135609313
Vietnam made me feel,“Vietnam is consistently guaranteed to provide a good experience. I think I was predisposed to love it. It lived up to and exceeded all my foolhearty expectations. There is a fierce nationalism. You find fierce national pride and lots of good cooks. People are so visibly joyful,"Friends of Anthony Bourdain
@bourdainpodcast
·
Feb 23",2025-02-22T17:54:46.000Z,https://x.com/bourdainpodcast/status/1893358787899060395
Vietnam made me feel,"“I saw a lot of soldiers wounded by either enemy fire or booby traps. I did not get too close to anyone over there, for they would either be short timers, going home, or get wounded, and I would never see them again. 

I also saw a lot of Vietnamese children burned (but still","A Soldier's Whisper
@SoldiersWhisper
·
Jan 10",2025-01-09T19:42:57.000Z,https://x.com/SoldiersWhisper/status/1877440945349689756
Vietnam made me feel,"""I want to be able to come back to Vietnam again and again and again. And if this place is so wonderful, the world must be filled with many more wonderful and interesting and challenging and heartbreaking and inspiring and beautiful places, as it turned out to. But I really got -","Historic Vids
@historyinmemes
·
Oct 21, 2023",2023-10-20T22:58:43.000Z,https://x.com/historyinmemes/status/1715502838770545146
Vietnam made me feel,"#PraewTalkTVxZeeNunew
@CwrNew
 #NuNew 

: What has the entertainment industry brought into your life?
: I feel like… my life has really changed. From being a student to stepping into the entertainment industry, I had to do both at the same time. That made me grow up a lot.","NuNew Chawarin Vietnam (#NuNew_LMWYL)
@NuNewCwrVN
·
Aug 1",2025-08-01T16:54:48.000Z,https://x.com/NuNewCwrVN/status/1951325756543656191
Vietnam made me feel,"“One day when I was at Cua Viet, Vietnam I had an emotional experience I will never forget.  In the midst of constant danger from enemy artillery and the possibility of being killed by hostile forces, I came to the realization that whether I lived or died, my faith in God and the","A Soldier's Whisper
@SoldiersWhisper
·
Dec 1, 2024",2024-12-01T15:15:19.000Z,https://x.com/SoldiersWhisper/status/1863240467694973373
Vietnam made me feel,"I know before I even start reading I’m going to weep. Vietnam was televised. 
I was young precocious and the impressions of the 60’s and 70’s JFK Bobby MLK Assassinations  Vietnam Flag draped coffins MIA bracelets Civil Rights Protests LE Violence all of it has never left me.","Kat AntifaCollectionAgency #BlackLivesMatter
@BodhisattvaKat
·
2h",2025-12-07T12:13:53.000Z,https://x.com/BodhisattvaKat/status/1997640706752495925
Vietnam made me feel,"A Sniper with an M79, 48th Brigade, Mekong Delta 1970 during the Vietnam War.

“One morning your buddy was there, and your life depended upon each other. Then the day came for only one to return home. Still the heartache of loneliness and loss affects you. I pray all hearts be","A Soldier's Whisper
@SoldiersWhisper
·
Nov 8",2025-11-08T15:32:28.000Z,https://x.com/SoldiersWhisper/status/1987181432460980382
Vietnam made me feel,"Vietnam is pretty cool. 

Scambucks can't penetrate the coffee market because the native stuff is so good. 

Public toilets are pristine, unlike in the UK where they look like war zones. 

Food is excellent, not just pizza and burgers. 

You could live like a king in a 5 star","Glenn
@glennwrites1
·
Sep 11, 2023",2023-09-11T09:54:22.000Z,https://x.com/glennwrites1/status/1701172322517098874
Vietnam made me feel,"NeverForgottenTheVietnamVeteran.com
“I served in Vietnam from January 1966 to May 1968. Our unit was a Mobile Guerilla Unit and was called upon for different operations. I am in the photo with the Cambodian mercenary troops. 

I had just stolen that jeep, and we had finished putting our","A Soldier's Whisper
@SoldiersWhisper
·
Aug 3",2025-08-02T23:24:54.000Z,https://x.com/SoldiersWhisper/status/1951786312811311176
Vietnam made me feel,"“Although we left the jungles and rice paddies of Vietnam, the jungles and rice paddies NEVER left us. They would be etched in our very souls, always present in the veiled midst of our memories. Those battle scars are not visible, but are nevertheless real.“ - Barney Tharp","A Soldier's Whisper
@SoldiersWhisper
·
Apr 1",2025-04-01T14:08:28.000Z,https://x.com/SoldiersWhisper/status/1907072574967705656
Vietnam made me feel,"“When I left San Francisco and flew to Vietnam, the flight that took 22 hours, and because of the time change, we arrived the same day. I am from Oregon where the temperature is pretty moderate all year round. 

We arrived at the airport in Cameron Bay, because Saigon Airport was","A Soldier's Whisper
@SoldiersWhisper
·
Apr 9",2025-04-08T18:40:43.000Z,https://x.com/SoldiersWhisper/status/1909677804096295423
Vietnam made me feel,"This Veterans Day, I am grateful I had my father, a Vietnam veteran, standing beside me as a I swore an oath to serve our nation as a civilian and continue his service to our country.

I recently had the opportunity to visit Vietnam, showing it is possible to close the wounds of","Kristina Wong
@kristina_wong
·
Nov 12",2025-11-11T19:02:45.000Z,https://x.com/kristina_wong/status/1988321516186968125
Vietnam made me feel,"Hanoi was such an impactful experience. someone mentioned Vietnam today and I realised how much I enjoyed every day there. 1 month and still feels less. people, culture, food, the way the city functions and all the madness that comes with being a tourist hub with thousands","Karteek
@hkarteek
·
Dec 1",2025-12-01T12:16:52.000Z,https://x.com/hkarteek/status/1995467130624758047
Vietnam made me feel,"When you’re Vietnamese, pride isn’t something you perform.

It’s something you carry—quietly, every day.

Not loud. Not boastful. But steady. Deep.

Etched into memory.

Woven into the land.

So when you see the People’s Army of Vietnam marching through Red Square,

Not as a","Sony Thăng
@nxt888
·
May 9",2025-05-09T15:06:21.000Z,https://x.com/nxt888/status/1920857883027427544
Vietnam made me feel,"""The jungle changes a man"" phrase suggests the profound and often brutal impact the environment had on the soldiers' psyches and characters.

This is the 199th Light Infantry Brigade, in the southern half of South Vietnam, 1969-1970. This sure doesn't look like much fun trying to","A Soldier's Whisper
@SoldiersWhisper
·
Oct 10",2025-10-10T00:36:32.000Z,https://x.com/SoldiersWhisper/status/1976446717571600726
Vietnam made me feel,"“You have never lived until you almost died. For those who fight for it, life has a flavor the protected will never know.”
- often attributed to soldiers in the Vietnam War, this quote often reflects the intense experiences and sacrifices of combat.
#war #combat #Soldiers","A Soldier's Whisper
@SoldiersWhisper
·
Apr 10",2025-04-09T21:08:11.000Z,https://x.com/SoldiersWhisper/status/1910077304014782532
Vietnam made me feel,"Vietnam is not a proxy.

Vietnam is not a pawn.

Vietnam is not your next Ukraine.

We are the country that made empires bleed and left them to rot.

We remember.

We think long.

We watch power shift like seasons.

And as the old order crumbles, we won’t be trapped in your","Sony Thăng
@nxt888
·
Apr 6",2025-04-06T07:08:23.000Z,https://x.com/nxt888/status/1908778798709170184
Vietnam made me feel,The crying Texan said our soldiers were killed in Viet Nam! Those brave soldiers didn't want to go fight elsewhere! Drug users were NOT forced to take drugs; it was their choice! THERE'S NO COMPARISON!!,"#VoteBlueToSaveDemocracy No Lists/DMs
@zamae1013
·
Dec 7",2025-12-07T15:01:10.000Z,https://x.com/zamae1013/status/1997682804004720942
