query,tweet,username,time,url
Vietnam transportation review,"Vietnam has approved the plan to take Chinese loans to build a $8.3 billion  railway linking Hanoi with the Chinese city of Kunming.

Existing Kunming–Haiphong railway is a narrow meter gauge rail that was completed by French colonial authority in 1910.  New electrified rail will","Carl Zha
@CarlZha
·
Feb 21",2025-02-21T00:54:15.000Z,https://x.com/CarlZha/status/1892739576453857624
Vietnam transportation review,"Hanoi, capital of Vietnam, is falling in love with its metro rail system.

The trains were manufactured and the project mostly funded by #China.

The U.S. doesn’t do infrastructure projects like this. Instead, it’s all about wars, destruction and killing.","S.L. Kanthan
@Kanthan2030
·
Oct 6, 2024",2024-10-06T07:56:35.000Z,https://x.com/Kanthan2030/status/1842836337742746057
Vietnam transportation review,"Did a price check on ride-sharing in Vietnam using the same pickup/dropoff. 

  InDrive is easily the cheapest. 
  Xanh SM is the EV option locals use. 
  $Grab is the most expensive as always—tourists use it without comparing, and it’s overpriced !!","Repeat Traveler
@RepeatTravels
·
16h",2025-12-07T03:32:25.000Z,https://x.com/RepeatTravels/status/1997509474161172596
Vietnam transportation review,"In Vietnam, the Phu Thien suspension bridge over the Da Nhim River in Lam Dong was swept away by flooding this morning. 

Authorities had already closed the bridge as water levels surged from hydropower releases, preventing any casualties. 

The loss of the bridge now forces","Volcaholic
@volcaholic1
·
Nov 20",2025-11-20T09:49:43.000Z,https://x.com/volcaholic1/status/1991443834262192343
Vietnam transportation review,. BREAKING — Vietnam to Triple High-Speed Rail Network with Chinese Tech by 2030.,"Pamphlets
@PamphletsY
·
Jul 25",2025-07-25T02:14:14.000Z,https://x.com/PamphletsY/status/1948567439597293912
Vietnam transportation review,"Breaking: Vietnam approves an $8 billion high-speed freight and passenger rail that links the country to China. 

Great for trade, manufacturing and tourism.

The 400 km railway will run from the border city of Lao Cai through capital city Hanoi to Haiphong that houses the","S.L. Kanthan
@Kanthan2030
·
Feb 19",2025-02-19T13:16:50.000Z,https://x.com/Kanthan2030/status/1892201680499785890
Vietnam transportation review,"Vietnam is now cutting tariffs on American cars and liquefied natural gas, AND is approving 
@ElonMusk
's Starlink services to improve relationship with the U.S. under Trump - Reuters","Eric Daugherty
@EricLDaugh
·
Mar 26",2025-03-26T14:32:04.000Z,https://x.com/EricLDaugh/status/1904904189051892135
Vietnam transportation review,Make a passport and visit vietnam you would know....Vietnam is atleast 15 to 20yrs ahead in infrastructure... I just visited for business purpose last month from Singapore..,"Manu
@mshahi0024
·
Dec 5",2025-12-04T18:46:40.000Z,https://x.com/mshahi0024/status/1996652391299715403
Vietnam transportation review,"Concluded my 29 days Vietnam trip yesterday. I have even better tips for few things.

Grab is only good for Food. For cabs you can check Xanh SM and Be.

BE:  
begroup.onelink.me/pDqc/xy3jlsb5
XANH:  
xanhsm.onelink.me/3eCA/uwwt5rdt

Cash problem? Use Moreta app to pay like local to QR codes. Works","Jatin Sapra
@jatinsapra
·
Nov 5",2025-11-05T14:27:15.000Z,https://x.com/jatinsapra/status/1986077855764431317
Vietnam transportation review,"The Vietnam North South high-speed railway is 1451 kilometers, with a total investment of 67 billion US dollars, and is expected to be completed before 2035. China is basically the only feasible contractor, and Japanese or European contractors cannot complete this project at such","DaiWW
@BeijingDai
·
Dec 1, 2024",2024-12-01T02:49:09.000Z,https://x.com/BeijingDai/status/1863052687723713016
Vietnam transportation review,"I have noticed that Vietnamese are currently in a heated argument over the China-Thailand high-speed railway. Some people advocate for Vietnam to be practical and introduce China's high-speed railway, while others insist that Vietnam should guard against China's use of high-speed","DaiWW
@BeijingDai
·
Feb 12",2025-02-12T07:31:51.000Z,https://x.com/BeijingDai/status/1889578145583604006
Vietnam transportation review,"Quick observations on Vietnam through an Indian tourist's eyes.  

1) Vietnam's cities, towns and even rural areas are clean—and for someone like me who went there expecting third-world-like conditions, I was pleasantly surprised.","Nikhil | നിഖിൽ | निखिल | ನಿಖಿಲ್
@nikhilnarayanan
·
Oct 5, 2022",2022-10-05T14:10:28.000Z,https://x.com/nikhilnarayanan/status/1577662510357889024
Vietnam transportation review,"After a series of typhoons and heavy rains, IOM remains on the ground in #VietNam, supporting communities as they recover and rebuild. 
 
In Dak Lak Province, 65 tons of emergency relief goods were delivered to reach 5,000 affected people.","IOM - UN Migration
@UNmigration
·
Dec 2",2025-12-01T17:00:00.000Z,https://x.com/UNmigration/status/1995538383351800044
Vietnam transportation review,"Big step forward for Vietnam. They have an amazing population distribution for High-Speed Rail. 

If they get as good as China at developing an HSR system, it could really supercharge their development (and they're already the fastest developing ASEAN country).","Orikron 骆培思
@orikron
·
Oct 7, 2024",2024-10-07T06:47:24.000Z,https://x.com/orikron/status/1843181314574610910
Vietnam transportation review,"Two high-speed rails will link Vietnam to China!

One from port cities of Haiphong and Quang Ninh to Chinese province Yunnan.

The other from Hanoi to China's Guangxi province.

A third HSR will link capital Hanoi and business hub Ho Chi Minh City.

Connectivity, development and","S.L. Kanthan
@Kanthan2030
·
Apr 11, 2024",2024-04-10T18:08:17.000Z,https://x.com/Kanthan2030/status/1778122849489658146
Vietnam transportation review,"With all eyes being fixated on the RV and Iraq I suggest we pay attention to Vietnam  

Vietnam has emerged as one of Southeast Asia’s fastest-growing economies, buoyed by strong export performance, robust foreign direct investment (FDI), and proactive fiscal and monetary","GP Q
@argosaki
·
Jan 7",2025-01-06T22:42:59.000Z,https://x.com/argosaki/status/1876399091623862546
Vietnam transportation review,"Vietnam parliament approves the high-speed railway plan.

I have discussed this before. Different from China, Vietnam's parliament actually has a certain degree of independence. It vetoed a $56 billion high-speed rail project in 2010 and vetoed another plan again later.","DaiWW
@BeijingDai
·
Dec 1, 2024",2024-12-01T01:03:08.000Z,https://x.com/BeijingDai/status/1863026010469642280
Vietnam transportation review,"MAO NING:

[Viet Nam media has reported citing the Chinese ambassador to Viet Nam that China is ready to offer grants to Viet Nam to upgrade a railway link from Guangxi to Hanoi and also to speed up plans to develop other railway systems connecting both China and Viet Nam. Are","Sony Thăng
@nxt888
·
Dec 12, 2023",2023-12-11T18:55:43.000Z,https://x.com/nxt888/status/1734285855001583975
Vietnam transportation review,"Vietnam choose Japan over China in 2010 to build railway from Hanoi to Ho Chi Minh for political reasons. 

Now the railway is delayed and practically suspended. It can't be done until 2045. 

With the closer tie between China/VN, I hope VN will replace japan with China.","DaiWW
@BeijingDai
·
Nov 3, 2022",2022-11-03T01:02:50.000Z,https://x.com/BeijingDai/status/1587973542087622657
Vietnam transportation review,"What's really sad to me is that Vietnam is literally 30% poorer than the Philippines, but they have a dedicated bus/tram system and is about to open their subway system in HCM.

It's amazing what a country can do with less corruption. 

...sana ganito sa Pilipinas.","Kris_P
@Kris_404_p
·
Aug 27, 2024",2024-08-27T02:14:40.000Z,https://x.com/Kris_404_p/status/1828254776171340117
Vietnam transportation review,"Recently, it has become a fashion to speak ill of tourist destinations in India, in favor of S E Asian countries like Vietnam

Listen to this guy describe risks in Vietnam

Vietnam barely has a metro train ... how can their infra be better than ours?

India has problems, but","Abhishek
@AbhishBanerj
·
Dec 20, 2024",2024-12-20T06:42:15.000Z,https://x.com/AbhishBanerj/status/1869996718617657475
