query,tweet,username,time,url
Vietnam travel disappointment,"They’re doing really weird things in Vietnam. Feels like capitalism is looser there. The stores are all makeshift with seemingly zero thought put into making money. They’re open till however late, who cares. Sure, stack 50 cafes together in an apartment building. Nothing matters","foks
@ExaltedFoks
·
Nov 7",2025-11-07T15:54:49.000Z,https://x.com/ExaltedFoks/status/1986824671677894839
Vietnam travel disappointment,"I have been working from #Vietnam from the last 15 days 

Sharing some info for those planning to visit / work from here which could be useful. Just pointers. 

1. Download the Grab App for all your taxi + food delivery etc. Indian mobile + cards work seamless on the app 

2. All","Backpacking Daku
@outofofficedaku
·
Jun 20, 2024",2024-06-19T18:43:54.000Z,https://x.com/outofofficedaku/status/1803498962659451154
Vietnam travel disappointment,"Vietnam failed this mission  i’m kinda embarrassed but i’ll post it anyway 

AHOF AT ASEAN KOREA
2025
#AHOFonaGlobalStage
#AHOFTakesOverVietnam","summer MET WOONGKI
@mattroiembe
·
Nov 1",2025-11-01T13:12:40.000Z,https://x.com/mattroiembe/status/1984609537433997581
Vietnam travel disappointment,"Yes sir. Saigon (cool museums ), Phu Quoc island (Chinese tourists), Hanoi and Ha Long Bay (must see). Was in Da Nang back in Feb/March this year when pollution in BKK was crazy. Dirt cheap, like $50/night 4 stars by the beach cheap.  Worst thing about it is the constant honking,","PicanteMonte
@PicanteMonte
·
Dec 5",2025-12-05T14:27:53.000Z,https://x.com/PicanteMonte/status/1996949651925369245
Vietnam travel disappointment,"Worst experience at #HoChiMinh airport immigration .. in business class queue waited for 30 mins WITHOUT ANY FANS WORKING .. literally no ventilation at the airport, our manager fainted & got hurt very badly !! This is the economy immigration queue. Really unbelievable #Vietnam","Aditi Singh Sharma
@ADTSinghSharma
·
Dec 3",2025-12-03T01:59:40.000Z,https://x.com/ADTSinghSharma/status/1996036584345665663
Vietnam travel disappointment,"Cao Bang : Magnifique malgré le moment qui est pas forcément le bon pour y aller

200km de scooter entre potes dans les montagnes du nord du Vietnam, proche de la frontière chinoise, bravo et merci pour tout c’était mon dernier voyage ici avant le retour en France !","oscar de la hoya
@Oscacarito
·
17m",2025-12-07T20:39:28.000Z,https://x.com/Oscacarito/status/1997767942985949361
Vietnam travel disappointment,It's really worse. Never ever go to Cambodia and avoid Thailand and Vietnam (if you don't have important businesses).,"Arjuna Sky Kok (,
@arjunaskykok
·
Oct 19",2025-10-18T17:18:08.000Z,https://x.com/arjunaskykok/status/1979597878789357796
Vietnam travel disappointment,"Im safe na krub. Thank you everyone.

I was sitting when I suddenly felt the ground shaking. At first, I thought I had a vestibular disorder. Then I saw everyone running out of the building, and the internet was cut off for an hour.

The worst part? Hundreds of people were","Mae Duyên (Rest)
@myduyenduong
·
Mar 28",2025-03-28T10:53:21.000Z,https://x.com/myduyenduong/status/1905573923665911891
Vietnam travel disappointment,"Last month I visited Vietnam, and it's a workcation paradise. Here's why:

- E-Visa: $25
- Hostels/day: $3-$10
- Hotels/day: $10-$20
- Street Food: $1-$5
- Cafes/Restaurants: $5-$20
- Transport costs same as in India, sometimes cheaper","Aditya Sharma
@aditya_sharma
·
Jun 10, 2023",2023-06-10T12:37:06.000Z,https://x.com/aditya_sharma/status/1667511201876828160
Vietnam travel disappointment,"I can’t believe this has seemingly become the norm. 

This is people’s first impression of Vietnam!","Alex 亚历克斯 | in China
@WhatAlexTweets
·
Dec 6",2025-12-06T06:26:03.000Z,https://x.com/WhatAlexTweets/status/1997190783300997345
