query,tweet,username,time,url
Vietnam travel scam review,"Two Australian teens, Holly Morton-Bowles and Bianca Jones, set off for the trip of a lifetime.

Backpacking in Laos, just 19 years old.

In November last year, they checked into the Nana Backpackers hostel in Vang Vieng.

They never came home.

Authorities say they accidentally","Desiree
@DesireeAmerica4
·
Nov 11",2025-11-10T17:28:58.000Z,https://x.com/DesireeAmerica4/status/1987935528067666372
Vietnam travel scam review,"HUMAN TRAFFICKING SYNDICATE IN SOUTH AFRICA: BE AWARE & SAVE YOURSELF & FAMILIES

This picture is a guy from Ezinambeni in Witbank, Mpumalanga Province. He recruits for a human trafficking syndicate based in Thailand.

The methods he uses to recruit is he tells you that you will","GOD GULUVA
@Zweli_Thixo
·
Nov 20",2025-11-20T07:41:11.000Z,https://x.com/Zweli_Thixo/status/1991411485419979079
Vietnam travel scam review,"Twitter please your magic!!! Adik saya ketipu sebuah agensi pencari kerja, yang awal dijanjikan kerja di restoran Malaysia gataunnya malah di terbangin ke Vietnam dan di antar grab ke Kamboja. Dia kabur dan sekarang ada disebuah penampungan seperti di foto dan video tersebut.","गोलकिपर
@anakgawang28_
·
Oct 20",2025-10-20T12:34:59.000Z,https://x.com/anakgawang28_/status/1980251400656613388
Vietnam travel scam review,"This is scamming. You're insane. Never bring anyone here, ever again. 
@ime_indonesia","❤︎
@venuscripted
·
Nov 25, 2024",2024-11-25T09:58:06.000Z,https://x.com/venuscripted/status/1860986311068586366
Vietnam travel scam review,If it’s been presented as a global problem you can guarantee it’s a scam.,"@andy3cunny
@andy3cunny1
·
5m",2025-12-07T20:44:50.000Z,https://x.com/andy3cunny1/status/1997769292423577619
Vietnam travel scam review,"I was scammed by a scammer after me 
completed the commission, they owed me $25 (636,000 VND) and they blocked me. I lost 636,000 VND because of this :) Consider everyone, avoid them and block them immediately","Mo
@Megatromad
·
Jun 19, 2024",2024-06-19T10:29:28.000Z,https://x.com/Megatromad/status/1803374531802956181
Vietnam travel scam review,40 Vietnamese men and women fled a casino in Cambodia on Thursday and tried to swim back to Vietnam's An Giang province. One reportedly drowned. They said they were duped into working illegally Cambodia and got beaten.,"Nga Pham
@ngahpham
·
Aug 19, 2022",2022-08-19T06:08:26.000Z,https://x.com/ngahpham/status/1560508973006360576
Vietnam travel scam review,"com’d in july 2023, got this in june 2024, haven’t heard anything since, $1k USD down the drain. i tried to be patient but im sick to my stomach knowing at least 10+ other people got scammed in the same way. this is 
@NeonBeat619
 if it wasn’t obvious. i’m tired of being quiet.","vae☆⋆.⊹
@vaempy
·
Jan 22",2025-01-22T01:52:02.000Z,https://x.com/vaempy/status/1881882483572298063
Vietnam travel scam review,"WARNING SCAMMER ALERT 

this person was scammed me by 08/08/2025 and untill now she didn't pay me back. she just turn my money in 2,000 Baht. I've got scammed in 66,000 BAHT. IF THIS PERSON TALK TO YOU PLEASE AVOID THEM. she has a lot of account.

@ZaSiSin @dadawdawi #GMMTV","@kasib00k_
·
Dec 6",2025-12-06T14:41:38.000Z,https://x.com/kasib00k_/status/1997315500842549603
Vietnam travel scam review,"A Vietnamese man, age 21, was found near the Surin border after fleeing a scam call center inside the O’Smach casino zone in Cambodia. He said he had been lured with a fake job offer promising $560 a month at a logistics company but was instead forced to scam under a Chinese boss","Jacob in Cambodia
@jacobincambodia
·
Dec 5",2025-12-04T23:36:54.000Z,https://x.com/jacobincambodia/status/1996725427935830372
Vietnam travel scam review,"Today, 27 Vietnamese nationals were arrested in Phnom Penh in an online scam crackdown.","Noan Sereiboth 
@noansereiboth
·
Dec 1",2025-12-01T14:18:34.000Z,https://x.com/noansereiboth/status/1995497755402506286
Vietnam travel scam review,"Vietnamese police in Da Nang have arrested three South Korean nationals wanted by Interpol for running a Cambodia-based scam ring. The men, identified as Choi Minsu, Choi Jinwoo, and Seo Jaeseok, were detained at a hotel in An Hai Ward after fleeing Cambodia sometime in October.","Jacob in Cambodia
@jacobincambodia
·
Dec 6",2025-12-06T04:38:15.000Z,https://x.com/jacobincambodia/status/1997163655243485615
