query,tweet,username,time,url
Visiting Vietnam,"Pernah beberapa bulan kerja di Vietnam terus kali ini balik lagi semingguan buat liburan.

Mau ngasi beberapa panduan singkat buat kalian yang sekiranya pengin ke Vietnam biar gak bingung.","Andre
@andreqve
·
Dec 28, 2024",2024-12-28T05:59:19.000Z,https://x.com/andreqve/status/1872885016310759584
Visiting Vietnam,"China silently wish the US to control a resource-hungry maritime Japan in South East Asia.

Both China and #Japan are wooing ASEAN. 

#Vietnam is an important country for both Asian giants, and is culturally influenced by them, to some degree.","petehw1
@petehw11
·
Dec 7",2025-12-07T13:47:36.000Z,https://x.com/petehw11/status/1997664292405997628
Visiting Vietnam,"GÜNAYDIIIN VİETNAAAM!
Nha Trang'dan günaydın Türkiye.

Gemimiz şehre yanaşırken ilk izlenimim; komünist Vietkong'un düşmanı ABD simgesi gökdelene duyduğu sevgi oldu!

Burası Orta Vietnam'da plajlarıyla ünlü turistik bir şehir.
Sıcaklık 28⁰ ve birazdan denize gireceğiz.","ömür kabak
@kabak_omur
·
4h",2025-12-07T08:12:42.000Z,https://x.com/kabak_omur/status/1997580012963439017
Visiting Vietnam,"Last month I visited Vietnam, and it's a workcation paradise. Here's why:

- E-Visa: $25
- Hostels/day: $3-$10
- Hotels/day: $10-$20
- Street Food: $1-$5
- Cafes/Restaurants: $5-$20
- Transport costs same as in India, sometimes cheaper","Aditya Sharma
@aditya_sharma
·
Jun 10, 2023",2023-06-10T12:37:06.000Z,https://x.com/aditya_sharma/status/1667511201876828160
Visiting Vietnam,"Some Places to Visit once in a lifetime.

1. Lan Ha Bay, Cat Ba Island, Vietnam","Earth_Wanderer
@earth_tracker
·
Jun 22",2025-06-22T06:20:37.000Z,https://x.com/earth_tracker/status/1936670643266916725
Visiting Vietnam,"In the north of the Vietnamese island known as Phu Quoc you van visit one of the most beautiful zoos on Earth. Even though animals belong to the wild and should thrive in their natural environment, this zoo and it's inhabitants are worth exploring!

#SaveSoil #ConsciousPlanet","Guzel
@GuzelKham
·
20h",2025-12-06T16:46:29.000Z,https://x.com/GuzelKham/status/1997346921573433495
Visiting Vietnam,"Just realized I never posted anything from one of the best trips of my life. Vietnam was such a beautiful country  So many cafes, puppet shows, massages, street markets, lanterns, boat rides, caves, mountains, longest cable ride and some dreamy landscapes #vietnam","Lavisha
@wowuniqueorns
·
Apr 8, 2024",2024-04-07T18:06:59.000Z,https://x.com/wowuniqueorns/status/1777035356002451485
Visiting Vietnam,"Vietnam’s busiest airport during the morning rush hour

Ho Chi Minh city, Vietnam","Aerowanderer
@aerowanderer
·
Dec 7",2025-12-07T13:40:33.000Z,https://x.com/aerowanderer/status/1997662517141651876
Visiting Vietnam,"Ho Chi Minh City, affectionately known as Saigon, is a dynamic blend of tradition and modernity. By day or by night, Saigon's energy is infectious, promising unforgettable experiences at every turn.

Discover the must-see attractions that define the essence of Ho Chi Minh City:","MilkLove’s Universe Vietnam
@MilkLoveUni_VN
·
Aug 4, 2024",2024-08-04T15:30:19.000Z,https://x.com/MilkLoveUni_VN/status/1820120086809813352
Visiting Vietnam,"Solo traveled to Vietnam with zero plans, chose just one city — Da Nang — and it turned out to be the most peaceful, soulful vacation I’ve ever had. Vietnam is vast, but you don’t need to race across the country, if you are on time constraint, then opt for Da Nang. Here's why","Kirubakaran Rajendran
@kirubaakaran
·
May 30",2025-05-30T08:21:15.000Z,https://x.com/kirubaakaran/status/1928366080629616653
Visiting Vietnam,"I am currently in Vietnam - this country is super chill with clothing, eating habits. 

Women do all kinds of jobs that men do; people don’t ogle at you. Everyone is minding their own business, saving you from unwanted attention. They are utilising their potential to the max; men","tere naina
@nainaverse
·
Mar 29, 2024",2024-03-29T12:21:00.000Z,https://x.com/nainaverse/status/1773686796368720000
Visiting Vietnam,"15 Places to Visit once in a lifetime.

1. Experience the breathtaking beauty of Vietnam, Nho Que River in Ha Giang Province.","Lost Temples™
@LostTemple7
·
Jun 19",2025-06-19T04:58:48.000Z,https://x.com/LostTemple7/status/1935562890573951132
Visiting Vietnam,"I have been working from #Vietnam from the last 15 days 

Sharing some info for those planning to visit / work from here which could be useful. Just pointers. 

1. Download the Grab App for all your taxi + food delivery etc. Indian mobile + cards work seamless on the app 

2. All","Backpacking Daku
@outofofficedaku
·
Jun 20, 2024",2024-06-19T18:43:54.000Z,https://x.com/outofofficedaku/status/1803498962659451154
Visiting Vietnam,"Vietnam on a Budget – 9 Days of Adventure Under ₹2 Lakh! 

 Here’s how we explored Vietnam’s stunning beaches, caves, and cruises — all without burning a hole in our pockets. Budget travelers, take notes!","CA. Roshan Agarwal
@rhoeshan
·
Mar 16",2025-03-16T09:09:58.000Z,https://x.com/rhoeshan/status/1901199249150521767
Visiting Vietnam,"Vietnam welcomes you both! You will have the chance to experience an incredibly diverse culinary culture, from street food to world-class restaurants. Not only that, the natural scenery here will captivate anyone, from emerald-green bays to towering mountain ranges. Take your","OhmyOrmVN
@ohmyormvn
·
Oct 17, 2024",2024-10-17T02:00:14.000Z,https://x.com/ohmyormvn/status/1846732925523706323
Visiting Vietnam,"Vietnam Trip: 11 days with ₹1,00,000 INR 

I travelled to Vietnam in September 2025 and this is how you can plan your next vacation to experience Hanoi, Sapa, and Da Nang","Sumit Behal
@sumitkbehal
·
Sep 27",2025-09-27T08:04:10.000Z,https://x.com/sumitkbehal/status/1971848325629345977
Visiting Vietnam,"Your 10-Day Vietnam Itinerary 
Efficient. Scenic. Delicious. This one’s got it all. This Vietnam itinerary is for those who want a wholesome but not hectic Vietnam trip.  1/12","Itinerary Whisperer
@khyatimaloo
·
Jan 27",2025-01-27T06:41:45.000Z,https://x.com/khyatimaloo/status/1883767333812158492
Visiting Vietnam,"Ada yang rencana ke Vietnam tahun depan?

Aku mau share tripku ke salah satu kota utamanya, Ho Chi Minh! 

Dari cafe, tempat makan, dan spots menyenangkan yang bisa masuk bucket list kamu","Dinda
@notpixi
·
Dec 29, 2024",2024-12-29T12:12:55.000Z,https://x.com/notpixi/status/1873341424361746710
Visiting Vietnam,"11 places to add to your bucket list:

1. Vietnam, Ha Long Bay","Visual Guide
@VisualGuide_
·
Jul 4, 2022",2022-07-04T12:47:03.000Z,https://x.com/VisualGuide_/status/1543939446181171200
Visiting Vietnam,"7 Cheap Places to Travel to for vacation. Thread ! 

1. Hanoi, Vietnam ( Average Cost: $19.75/day)","Uncle Chu
@datchuguyy
·
Oct 8, 2022",2022-10-08T08:30:54.000Z,https://x.com/datchuguyy/status/1578664219607674881
Visiting Vietnam,"The Ultimate Vietnam Trip Guide 

A beautiful & budget friendly country
 
Part-1(Travel Guide)

Just back from an amazing trip to Vietnam

Here’s my 9 day itinerary covering 
Hanoi, Danang & Saigon City

Perfect for anyone planning a visit. 

Like  Share Bookmark","Bharat
@bharatt___
·
Sep 17, 2024",2024-09-17T10:25:41.000Z,https://x.com/bharatt___/status/1835988489227116601
Visiting Vietnam,"With sun-drenched coastline, amazing street food and colourful culture, #Vietnam is a solo traveller's dream...","Lonely Planet
@lonelyplanet
·
Jul 8, 2018",2018-07-08T07:31:02.000Z,https://x.com/lonelyplanet/status/1015860798512599041
Visiting Vietnam,"12 Delicious Vietnamese Recipes You Can Make at Home
Recipe: 
pupswithchopsticks.com/must-try-vietn
…
#foodie #Nomnom #asianrecipes #asianfood","Pups with Chopsticks
@pupschopsticks
·
Dec 7",2025-12-07T13:47:50.000Z,https://x.com/pupschopsticks/status/1997664350971035708
Visiting Vietnam,"With sun-drenched coastline, amazing street food and colourful culture, #Vietnam is a solo traveller's dream...","Lonely Planet
@lonelyplanet
·
Jul 9, 2018",2018-07-09T10:01:16.000Z,https://x.com/lonelyplanet/status/1016260990835593217
Visiting Vietnam,"Tips for travelling to Vietnam 

A thread ( 1/n)

1. While in Hanoi, book Hotel Lotte 

PS: Thank me later","The Startup CA
@mehulshahca
·
Oct 25, 2022",2022-10-25T04:17:28.000Z,https://x.com/mehulshahca/status/1584761031645356032
Visiting Vietnam,"7 Cheap Places to Travel to for vacation. Thread ! 

1. Hanoi, Vietnam ( Average Cost: $20/day)","Uncle Chu
@datchuguyy
·
Mar 13",2025-03-13T13:31:22.000Z,https://x.com/datchuguyy/status/1900177871299137907
Visiting Vietnam,"Vietnam offers an amazing culture, a great crowd, and numerous options to explore the northern regions such as Sapa and Ha Giang loop tours.

You can also visit Halong Bay and Ninh Binh for some breathtaking views.","Aditya Sharma
@aditya_sharma
·
Jun 10, 2023",2023-06-10T12:39:42.000Z,https://x.com/aditya_sharma/status/1667511857480073217
Visiting Vietnam,"Starting out our virtual #VinRoadTrip in Saigon – imagining where we’d go in our new VinFast LUX SA 2.0 SUV – we’ve visited Bình Quới Tourist Village, Bosgaurus Coffee shop and Landmark 81. Do you know of any other cool places to visit in Saigon? Use #VinRoadTrip. #Vietnam","VinFast
@VinFastofficial
·
Oct 21, 2018",2018-10-21T11:34:37.000Z,https://x.com/VinFastofficial/status/1053972820856893440
Visiting Vietnam,"Vietnam - 10 days
Strong coffee, cheap bear, crazy caves, crazier mountains, happiest people 

Itinerary here","Aayushi
@dont_be_witch
·
Mar 24",2025-03-24T14:48:53.000Z,https://x.com/dont_be_witch/status/1904183642739343634
Visiting Vietnam,"Vietnam was my dream destination since I was a kid and I've only just begun to look through my photos but look at this place man.

 Unbelievable country, the people, the nature, the food, unlike anywhere I've ever been and I can't wait to go back.","Kyle
@KBensonJpg
·
Dec 6",2025-12-06T00:14:01.000Z,https://x.com/KBensonJpg/status/1997097156843282598
Visiting Vietnam,"Vietnam- the land of diverse coffee, lantern festivals and amazing beaches!

Here’s a perfect 10 days Vietnam ITINERARY for you","Aakanksha Monga
@Aakanksha_99
·
Jul 20, 2023",2023-07-20T13:16:21.000Z,https://x.com/Aakanksha_99/status/1682016594069970945
Visiting Vietnam,"Discover the vibrant soul of Hanoi! From ancient temples to buzzing streets, every corner tells a story. Ready to explore like a local? Join our Hanoi City Exploration today! 
 Book your journey now! #Hanoi #VietnamTravel #SaolaVietnamTours","Sao La Vietnam Tours
@vietnamtravel20
·
Dec 2",2025-12-02T01:56:40.000Z,https://x.com/vietnamtravel20/status/1995673440708428107
Visiting Vietnam,"Today I fell even more in love with Vietnam

 Da Nang, Vietnam","Paolo Domingo
@iampaolodomingo
·
Dec 7",2025-12-07T13:21:08.000Z,https://x.com/iampaolodomingo/status/1997657631154987168
Visiting Vietnam,"One thing i surely miss is the vietnamese coffee 

It was something else. Can't explain 
I'd certainly be going back for the coffee  

Vietnam is a beautiful country, very economical, do visit if you get a chance","Sne
@SneRaghu
·
Oct 7",2025-10-07T04:42:34.000Z,https://x.com/SneRaghu/status/1975421469367935286
Visiting Vietnam,"Quick observations on Vietnam through an Indian tourist's eyes.  

1) Vietnam's cities, towns and even rural areas are clean—and for someone like me who went there expecting third-world-like conditions, I was pleasantly surprised.","Nikhil | നിഖിൽ | निखिल | ನಿಖಿಲ್
@nikhilnarayanan
·
Oct 5, 2022",2022-10-05T14:10:28.000Z,https://x.com/nikhilnarayanan/status/1577662510357889024
Visiting Vietnam,"Yes sir. Saigon (cool museums ), Phu Quoc island (Chinese tourists), Hanoi and Ha Long Bay (must see). Was in Da Nang back in Feb/March this year when pollution in BKK was crazy. Dirt cheap, like $50/night 4 stars by the beach cheap.  Worst thing about it is the constant honking,","PicanteMonte
@PicanteMonte
·
Dec 5",2025-12-05T14:27:53.000Z,https://x.com/PicanteMonte/status/1996949651925369245
Visiting Vietnam,"Hey fam. I’ve been dreaming about visiting Vietnam, a vibrant, welcoming gem in Southeast Asia

From the lush rice terraces of Sapa to the lantern-lit streets of Hoi An, Vietnam offers a rich blend of culture, history, and natural beauty. It’s warm in winter, budget-friendly, and","Keithbm 𝔽rAI
@KeithbmBG
·
Nov 16",2025-11-16T10:55:02.000Z,https://x.com/KeithbmBG/status/1990010717890654253
Visiting Vietnam,"If Vietnam is on your 2025 bucket list, SAVE this 

We explored Hanoi, Sapa, Da Nang & Hoi An.

One of the best trips we’ve ever had 

Here’s the full itinerary with flights, hotels, the BEST FOOD & transport hacks","Dhanesh Gianani
@dhanesh500
·
Sep 21",2025-09-21T12:15:07.000Z,https://x.com/dhanesh500/status/1969737151815307284
Visiting Vietnam,"Que faire au Vietnam ? 5 idées de sorties et d'activités incontournables à faire au Vietnam
 
l.geo.fr/RhF","GEO
@GEOfr
·
2h",2025-12-07T10:31:48.000Z,https://x.com/GEOfr/status/1997615018485973338
Visiting Vietnam,"Vietnam is pretty cool. 

Scambucks can't penetrate the coffee market because the native stuff is so good. 

Public toilets are pristine, unlike in the UK where they look like war zones. 

Food is excellent, not just pizza and burgers. 

You could live like a king in a 5 star","Glenn
@glennwrites1
·
Sep 11, 2023",2023-09-11T09:54:22.000Z,https://x.com/glennwrites1/status/1701172322517098874
Visiting Vietnam,"@marley_ok
 y 
@furiascaglione
 aterrizan en Vietnam para recorrer paisajes impresionantes, descubrir su cultura y vivir momentos inolvidables 

 Hoy a las 21.00 hs mirá #PorElMundo por Telefe","telefe
@telefe
·
3m",2025-12-07T13:10:20.000Z,https://x.com/telefe/status/1997654914298749350
