query,tweet,username,time,url
bad experience Vietnam travel,"Cao Bang : Magnifique malgré le moment qui est pas forcément le bon pour y aller

200km de scooter entre potes dans les montagnes du nord du Vietnam, proche de la frontière chinoise, bravo et merci pour tout c’était mon dernier voyage ici avant le retour en France !","oscar de la hoya
@Oscacarito
·
4m",2025-12-07T20:39:28.000Z,https://x.com/Oscacarito/status/1997767942985949361
bad experience Vietnam travel,"Two Australian teens, Holly Morton-Bowles and Bianca Jones, set off for the trip of a lifetime.

Backpacking in Laos, just 19 years old.

In November last year, they checked into the Nana Backpackers hostel in Vang Vieng.

They never came home.

Authorities say they accidentally","Desiree
@DesireeAmerica4
·
Nov 11",2025-11-10T17:28:58.000Z,https://x.com/DesireeAmerica4/status/1987935528067666372
bad experience Vietnam travel,"I have been working from #Vietnam from the last 15 days 

Sharing some info for those planning to visit / work from here which could be useful. Just pointers. 

1. Download the Grab App for all your taxi + food delivery etc. Indian mobile + cards work seamless on the app 

2. All","Backpacking Daku
@outofofficedaku
·
Jun 20, 2024",2024-06-19T18:43:54.000Z,https://x.com/outofofficedaku/status/1803498962659451154
bad experience Vietnam travel,"Yes sir. Saigon (cool museums ), Phu Quoc island (Chinese tourists), Hanoi and Ha Long Bay (must see). Was in Da Nang back in Feb/March this year when pollution in BKK was crazy. Dirt cheap, like $50/night 4 stars by the beach cheap.  Worst thing about it is the constant honking,","PicanteMonte
@PicanteMonte
·
Dec 5",2025-12-05T14:27:53.000Z,https://x.com/PicanteMonte/status/1996949651925369245
bad experience Vietnam travel,It's really worse. Never ever go to Cambodia and avoid Thailand and Vietnam (if you don't have important businesses).,"Arjuna Sky Kok (,
@arjunaskykok
·
Oct 19",2025-10-18T17:18:08.000Z,https://x.com/arjunaskykok/status/1979597878789357796
bad experience Vietnam travel,"A Vietnamese man, age 21, was found near the Surin border after fleeing a scam call center inside the O’Smach casino zone in Cambodia. He said he had been lured with a fake job offer promising $560 a month at a logistics company but was instead forced to scam under a Chinese boss","Jacob in Cambodia
@jacobincambodia
·
Dec 5",2025-12-04T23:36:54.000Z,https://x.com/jacobincambodia/status/1996725427935830372
bad experience Vietnam travel,"Im safe na krub. Thank you everyone.

I was sitting when I suddenly felt the ground shaking. At first, I thought I had a vestibular disorder. Then I saw everyone running out of the building, and the internet was cut off for an hour.

The worst part? Hundreds of people were","Mae Duyên (Rest)
@myduyenduong
·
Mar 28",2025-03-28T10:53:21.000Z,https://x.com/myduyenduong/status/1905573923665911891
bad experience Vietnam travel,"Chinese ramming caused around 10 Vietnamese to sustain injuries, including broken arms and legs! 

And now China would ask for evidence, and when it rammed PH ships, the presence of cameras was classified as staged! 1/2 
@informedph2
 @Ping2Tweets","Nguyen Ho
@NguyenHo1096438
·
Oct 1, 2024",2024-10-01T10:32:26.000Z,https://x.com/NguyenHo1096438/status/1841063619544433004
bad experience Vietnam travel,"Worst experience at #HoChiMinh airport immigration .. in business class queue waited for 30 mins WITHOUT ANY FANS WORKING .. literally no ventilation at the airport, our manager fainted & got hurt very badly !! This is the economy immigration queue. Really unbelievable #Vietnam","Aditi Singh Sharma
@ADTSinghSharma
·
Dec 3",2025-12-03T01:59:40.000Z,https://x.com/ADTSinghSharma/status/1996036584345665663
bad experience Vietnam travel,"มึง ดาราเวียดนามคนนี้มาเที่ยวไทย ท้องเสีย อาหารเป็นพิษ ถูกส่งตัวเข้ารักษาในโรงพยาบาลทันที สาเหตุเพราะว่ากินหอยแครงดิบไป 3 จาน เสียค่ารักษาไป 7,000 บาท ไม่แพงเท่าไหร่เมื่อเทียบกับเวียดนาม ขอให้หายไวๆนะครับ","Tarot to youuuu
@TarotYouuuu
·
Oct 5, 2024",2024-10-05T08:00:22.000Z,https://x.com/TarotYouuuu/status/1842474901267210653
